age,income,rent,food,transport,entertainment,shopping,education,misc,financial_literacy_score,saving_habit_score,total_expense,savings
29,43549,6664,2395,4277,860,5495,3224,1485,8,7,24400,22205
25,40761,3205,4001,2158,4593,1803,2988,2882,7,7,21630,23232
23,18262,14039,10555,1074,5295,5713,1814,4230,8,10,42720,-20582
28,66259,14393,10062,5623,1950,7507,6120,3226,9,1,48881,19977
20,87572,4238,9268,2319,716,3558,1379,2770,6,2,24248,64035
18,68472,19544,7877,1430,6285,2349,7080,3947,4,3,48512,22533
20,19677,14987,6188,4508,3254,8316,342,4244,3,3,41839,-21199
22,88508,7239,6361,5182,1127,1801,4727,4843,3,3,31280,57171
20,65617,14017,8349,983,3767,4537,1440,4587,6,9,37680,30770
18,33595,18455,8180,4412,1066,790,6427,2105,8,2,41435,-5775
22,75148,19138,9794,857,4258,7444,4871,1181,8,1,47543,29291
27,61926,11096,2743,4980,2990,8881,736,897,8,1,32323,30017
24,49457,16814,8162,753,2520,5814,4861,2808,9,6,41732,10960
24,57531,15291,2373,4494,4030,6195,1180,1966,1,7,35529,24081
28,88263,4621,7905,1334,3006,7326,879,940,7,2,26011,64200
26,88300,5190,6127,1690,4055,758,6839,2351,10,2,27010,64058
27,78171,5948,10331,2203,2691,1326,1422,4051,9,8,27972,55491
27,60771,3287,7689,5391,4909,2919,5646,1491,2,7,31332,32797
29,81354,16590,5020,5064,3422,7475,2852,3492,4,4,43915,40359
20,52289,17668,5292,992,1228,8432,2962,2510,6,7,39084,16230
24,48892,3772,8876,5515,3828,6703,4087,2228,4,4,35009,14785
18,86196,8200,8897,3909,973,2652,7530,807,9,5,32968,56838
21,53409,17762,7338,4646,5280,3832,442,3196,10,8,42496,15664
21,49470,5138,3564,3627,1105,6386,3506,643,1,4,23969,26136
22,33385,9213,2057,2620,4070,3617,7799,4118,9,7,33494,2391
24,38296,16941,5496,4365,1742,5239,7508,829,10,2,42120,-1241
24,76716,4416,7394,551,6183,4097,247,2404,1,2,25292,51606
28,41382,17964,7142,761,4102,6096,2978,1283,1,9,40326,2484
21,37419,19968,4948,3502,5977,2814,1497,1489,5,10,40195,-131
24,54291,3046,6473,2408,4254,2057,2165,3732,1,8,24135,32210
28,27397,16909,10564,4146,4870,2216,4187,3374,10,3,46266,-15279
20,72888,15578,5134,2877,4378,8514,4053,3698,9,7,44232,32416
23,50169,7719,3587,3894,2399,2827,1571,2551,6,1,24548,27017
29,77182,17960,10969,4836,4243,5901,5556,4063,9,4,53528,27372
19,57249,19560,6262,5904,5347,5393,4943,1909,5,4,49318,9076
27,43341,17598,8666,2125,2764,8508,1547,4410,6,8,45618,80
26,61144,17624,5678,5918,6178,8303,5659,685,2,4,50045,11959
22,76772,8411,2998,1728,3645,5321,1990,3852,9,9,27945,52610
23,28444,10074,10751,4886,6597,6059,1824,4410,3,10,44601,-13011
29,60647,12352,5343,1889,1175,3699,7127,1804,5,7,33389,30752
29,25974,17003,5501,1987,4553,2841,3146,2158,8,10,37189,-6544
29,53383,11223,6014,1416,1209,3898,6222,4365,5,5,34347,20588
29,17956,14718,7107,2641,1422,5759,1746,3287,10,8,36680,-14975
21,23077,3315,6328,1210,3899,3351,6838,3555,4,4,28496,-4758
28,51490,19276,6655,2386,907,1645,7246,2909,4,10,41024,14827
27,70612,10936,7327,2716,4743,883,2760,2730,5,6,32095,42216
24,51159,15767,9620,1820,1609,1519,4300,1505,3,5,36140,17674
29,54710,8466,7858,3063,4092,8500,6961,2678,10,10,41618,17098
26,28806,17185,7620,4945,5098,4544,4636,2465,4,3,46493,-15668
24,21458,7090,11112,5331,2288,705,825,3966,5,8,31317,-6533
18,50524,6240,9004,3126,6875,4117,5401,4232,4,6,38995,15149
18,21853,18795,3242,900,4459,563,22,3614,3,4,31595,-7232
26,55477,16910,9015,1250,1990,4332,5648,3575,1,1,42720,11822
28,47222,4446,2080,5416,6890,3676,4228,3896,2,10,30632,20144
26,33320,5346,4661,2387,5989,8107,58,1289,9,1,27837,6603
21,67243,14411,6798,4185,4084,4305,1679,3425,10,3,38887,29766
26,60615,18469,2540,1918,4350,4823,7782,3930,2,8,43812,19932
20,32352,9749,7945,3103,4700,5297,1629,2497,2,8,34920,-1054
24,87833,6142,8908,5738,6877,4523,1940,2515,5,2,36643,51476
23,18203,18070,11466,4271,1981,894,4868,3237,10,1,44787,-25304
25,54267,16187,4785,5600,1780,2359,1525,1210,9,5,33446,22651
28,52941,9087,5486,5561,6212,6941,6585,3950,3,1,43822,10111
26,40368,17635,5157,5610,5791,6044,6425,1702,9,8,48364,-4994
22,45984,17807,6717,5809,5892,1520,3242,3618,4,9,44605,3493
18,56941,12197,7336,2518,4442,7404,5999,3549,3,2,43445,14668
20,87918,14271,9165,2536,5354,3972,3197,4352,5,4,42847,46981
27,67683,19187,4243,2145,1374,8247,4061,4198,7,6,43455,27342
29,15801,16724,11512,3987,611,6017,7098,552,7,7,46501,-26444
25,62965,11261,4993,1313,6666,6869,3157,2277,2,5,36536,27660
28,24969,15479,4091,5233,6958,832,5817,1810,7,1,40220,-13844
23,50969,17804,7209,3669,701,4925,620,1906,7,7,36834,17792
25,47449,14333,9645,1523,5213,7559,3585,4585,2,7,46443,1786
26,40705,14827,7740,2009,3153,1375,4651,2778,10,5,36533,8552
21,75303,11600,6154,2538,1494,6340,715,4021,9,2,32862,45621
18,43363,13932,10670,1893,4620,2788,105,2936,8,2,36944,9321
18,45720,18648,4665,5739,5252,5179,6362,1808,2,9,47653,1577
27,24972,14040,8018,2846,2031,5196,2969,2853,6,9,37953,-8960
21,48351,18127,3756,1355,1889,7116,7788,4369,8,4,44400,7712
29,51145,14473,11990,1666,1030,6600,6699,1794,9,4,44252,10206
24,71235,18709,7713,3254,2117,5282,728,2064,1,7,39867,33678
19,29855,3206,5120,2165,4641,6225,6034,908,7,5,28299,4904
20,51169,11696,7151,4538,5654,6080,4400,1598,10,1,41117,12698
18,61404,15714,7605,2472,6845,4986,2138,2008,5,5,41768,22231
22,34569,3440,4578,4187,6154,1578,2543,611,9,4,23091,13480
18,69437,11147,3026,1616,864,7718,3152,1771,9,3,29294,41315
25,63506,18267,6473,3868,3871,5085,696,3383,3,1,41643,21486
18,40738,10746,6667,5042,3324,1855,4229,2175,10,9,34038,9617
28,21772,7136,3954,1233,5965,6517,406,824,7,4,26035,-990
18,34731,13446,11756,4283,1872,8686,6481,3933,3,3,50457,-13095
19,25131,14331,2586,3421,3357,8961,7978,4573,4,8,45207,-17511
19,81324,15188,2684,3829,2737,4740,7165,4326,8,7,40669,44165
29,69097,7819,8042,5117,3974,2146,1579,1932,1,6,30609,41317
23,17889,10069,5268,2206,4944,3572,3568,3309,4,6,32936,-13878
24,24569,14769,2658,5994,4968,3938,5185,2326,4,2,39838,-15197
22,22612,7560,3296,3998,6258,2151,2348,1648,3,9,27259,-557
18,66644,14853,3525,1624,4076,5793,5650,4439,2,1,39960,27789
18,47069,12459,9150,5217,3862,5180,3314,4284,8,4,43466,6174
20,42331,5629,9792,5354,4543,2250,3319,4879,6,4,35766,9435
19,70897,13657,8604,2358,4475,3471,515,1371,2,9,34451,39896
22,28934,7314,7789,2791,1484,4689,2144,543,8,3,26754,5796
29,25095,10662,9420,5973,5582,5242,3425,4093,8,9,44397,-14056
27,33706,19754,7753,3013,2658,2241,7263,2722,7,2,45404,-11274
23,58516,9629,11263,5460,6174,4324,952,2934,8,1,40736,19631
24,49629,13324,8634,4015,2026,4341,1745,501,9,7,34586,17583
21,61910,19558,7108,2500,3872,6697,4331,3008,3,2,47074,14987
24,35431,18494,7247,2297,1536,8143,2184,4993,2,1,44894,-7754
28,71733,8692,10401,2816,5118,5567,3428,3903,7,9,39925,34678
25,55088,11218,2623,3080,3673,2861,1071,1096,2,8,25622,30409
28,59135,13746,11997,2514,2489,2466,1187,2289,3,3,36688,23752
18,53015,17372,7261,2667,2744,5132,499,4304,6,2,39979,15267
23,46385,14631,6268,3528,6010,893,2242,2284,9,1,35856,12727
25,85199,3472,7984,2447,2602,547,4369,3569,9,10,24990,65354
22,53677,16599,5749,1643,2730,3248,5927,4566,10,4,40462,15716
21,27818,6872,6542,5305,1542,2788,2549,2671,2,6,28269,1111
19,78001,12573,2010,4731,4958,7548,1496,4825,1,2,38141,41391
23,38977,15691,2760,3648,3020,8062,6081,4595,6,6,43857,-2125
23,64832,13482,11519,1435,4604,1709,7147,1016,7,5,40912,26221
28,55931,6753,3177,3657,3207,1664,6464,813,8,1,25735,33210
18,87204,3833,11168,500,6668,8574,5015,1860,4,10,37618,52954
26,60784,7928,4492,576,1829,5045,6324,2624,7,7,28818,34291
29,24921,10645,4389,5556,4155,8545,5745,1327,9,7,40362,-11412
28,49959,8816,8364,3128,6053,4039,2473,2176,1,5,35049,16568
23,47328,19124,4552,2695,6616,3911,820,2647,3,4,40365,8169
20,23859,9256,3482,1073,6041,2037,999,4891,5,2,27779,-3095
21,89408,12549,4310,2048,4405,6569,573,4278,7,7,34732,59266
29,41708,17062,5741,685,1580,7509,4029,4263,5,8,40869,4733
28,33847,11635,9285,5117,4105,682,4035,3829,1,9,38688,-3345
21,70989,11940,9617,4342,1323,2033,5245,1960,1,6,36460,36351
20,19922,4401,5839,3992,4119,655,6001,3254,1,2,28261,-8905
27,84928,15111,9581,2743,3750,6311,1698,3070,8,1,42264,43559
20,67335,13363,4755,533,2615,5384,3042,1277,7,2,30969,38949
20,28541,14432,11014,2120,4067,8477,3256,2063,3,3,45429,-14285
21,34551,11978,5597,2396,5620,6656,7996,894,4,1,41137,-4900
24,34381,19793,10652,2955,547,5920,2187,2020,8,5,44074,-7439
21,70673,2909,7237,2300,1940,1357,1778,1772,7,7,19293,53246
26,37948,2760,3740,5916,4235,5774,48,1154,7,9,23627,17027
18,74072,7612,4124,5132,1444,4507,1494,4090,6,6,28403,48753
25,82560,5240,11636,2583,3768,5358,6640,1975,9,8,37200,50497
24,17486,2530,7291,5883,4141,5178,1173,3114,6,2,29310,-11378
19,81691,11551,5097,1905,3619,6539,5721,2415,1,5,36847,45301
25,25082,12219,7247,4188,6572,5476,6467,502,5,9,42671,-15698
18,22086,18216,6469,3152,2483,2199,1350,912,8,7,34781,-9642
28,82853,4560,10845,5038,854,7334,918,4615,6,7,34164,52810
29,85027,7103,6999,1686,3805,2585,350,4591,5,3,27119,59416
26,30916,19921,10935,4633,5032,1951,1926,4349,9,3,48747,-16222
26,30248,11465,8566,2639,5295,7928,1917,1869,7,2,39679,-7766
19,83047,4781,9344,3178,2417,1897,4373,4433,7,9,30423,56040
24,39226,19330,2852,4294,4685,6674,7975,2253,1,4,48063,-7423
27,40025,7257,6926,3219,868,1528,5266,3911,2,9,28975,14900
20,63380,4188,11753,5102,3486,1190,4660,2920,10,4,33299,33405
24,22848,8063,7068,2726,1692,8398,1309,3229,5,8,32485,-6215
29,29274,17615,7389,2831,1886,8463,4249,852,3,1,43285,-13399
27,69545,2881,3318,4523,4493,4510,6010,977,8,1,26712,44498
26,50233,3847,2121,4950,3502,4079,4520,2791,4,6,25810,25910
21,31304,8599,6254,3868,2396,699,3959,4439,7,6,30214,4195
29,26294,6568,10498,4457,3047,5892,5269,2600,5,7,38331,-10304
18,41425,18314,11304,987,5299,725,5692,4247,6,7,46568,-2186
19,83711,9163,3896,5601,6776,5066,7240,4187,7,10,41929,46968
18,24425,13156,7976,778,6815,2565,2349,3428,8,3,37067,-9740
29,59990,13255,10006,3091,2053,540,5177,3725,3,9,37847,23888
22,88746,13320,10537,1149,3310,2591,6684,1850,3,9,39441,51121
22,83295,4216,5911,3478,3532,2744,7903,872,2,3,28656,55247
28,31091,7701,10340,854,611,8990,7732,1989,6,7,38217,-5445
24,15002,13780,3039,2742,4572,6562,2961,4137,2,4,37793,-21103
26,65411,12694,11582,5399,1563,1378,4766,3367,1,6,40749,26680
26,55958,6809,5904,2980,4697,7903,7455,4065,1,6,39813,18776
20,35707,18562,6876,1057,1892,4395,4104,1973,9,5,38859,-1017
20,30248,16392,10309,5646,1697,1950,1501,2147,1,6,39642,-7288
20,86309,9771,2703,3986,4397,5873,5668,1522,7,7,33920,56078
21,66720,3929,4955,661,840,3095,6623,2722,5,2,22825,45458
25,30037,16306,7470,1198,5515,4089,2823,4917,6,7,42318,-8431
23,82421,16244,8440,2473,6543,5409,5527,1591,10,7,46227,40410
25,55612,2111,4024,4044,3361,7125,67,3345,9,7,24077,36575
18,28450,13411,6996,4277,4791,8199,1331,3039,3,10,42044,-10544
25,24491,19098,8569,2705,6203,6041,4397,2879,6,5,49892,-21600
21,89804,13116,6345,991,1705,8470,2320,3614,7,3,36561,53991
28,21791,17707,7862,2492,6420,5781,6676,989,2,5,47927,-25458
18,43314,19765,7634,1532,5732,4321,2607,3091,6,1,44682,492
25,66883,5127,2997,3783,6294,2327,7944,4340,6,5,32812,36247
21,80629,15100,2405,4010,2074,4611,763,4480,5,3,33443,48623
23,24967,13203,2243,5419,3806,1188,5572,535,7,7,31966,-4801
25,58220,3208,9967,5274,5100,1319,4612,1805,9,4,31285,30428
21,89163,13317,4414,1285,6562,6716,477,3198,7,6,35969,54880
20,19947,2036,5856,2333,6862,2751,4613,3340,2,6,27791,-5426
26,54419,13252,8263,1491,2040,2801,2789,672,4,4,31308,24078
20,71131,9006,9938,4706,6372,3160,5063,2199,1,1,40444,29701
26,43876,17067,11797,2283,6808,6148,5039,4885,2,3,54027,-8295
19,34971,7347,10624,5684,4084,6162,4141,3989,9,3,42031,-3847
19,77539,2809,3141,1684,4553,1454,5728,3673,7,6,23042,57572
19,64228,6118,6126,2961,5803,6953,1023,1164,8,10,30148,38675
23,89495,19910,5024,2168,2426,4441,6767,2998,8,8,43734,48719
20,43261,15083,11364,2813,4019,5248,5838,2535,2,2,46900,-1909
26,76260,18879,9007,1071,6651,7912,1892,4526,5,6,49938,29046
21,18346,15187,5456,4800,1905,1747,5576,620,1,7,35291,-14850
18,71176,2424,7999,4238,2513,5986,4542,1580,9,3,29282,43792
21,67300,3982,6197,1083,947,7386,4738,4702,5,1,29035,38514
18,26340,19852,11287,2720,2220,512,6814,2786,1,2,46191,-18963
22,48012,17918,7824,807,4367,7975,2426,1936,7,5,43253,6268
21,50393,17398,8766,5045,5773,5205,6758,520,9,1,49465,2516
25,40557,13992,4852,561,4593,2739,4742,1352,1,4,32831,9339
25,79204,3233,4455,5070,533,1197,4111,4104,1,6,22703,56847
24,88273,11989,9514,4288,996,2566,1531,3490,1,1,34374,52916
20,32276,16546,3390,2633,3411,7414,4699,3562,7,6,41655,-7837
18,69639,10756,6925,2459,6665,5174,1401,4141,10,8,37521,36424
18,22310,5019,4836,5626,1903,2573,5858,2497,3,1,28312,-6044
29,50167,3304,2617,2532,3719,3712,654,4323,9,8,20861,34088
28,25391,16144,4469,4262,3210,4313,774,2444,9,8,35616,-5865
20,65621,18516,4702,3286,2102,1550,6498,1717,7,2,38371,28370
23,25892,18832,8257,2042,6534,2652,3695,1509,3,3,43521,-15777
24,51142,12022,10105,2175,5185,8189,6622,3221,10,6,47519,5681
23,60679,12350,5165,5121,6170,6287,6053,3194,8,8,44340,20481
23,56615,13818,10451,533,5272,3589,5511,4325,6,5,43499,15870
23,62553,2849,6430,4461,5718,4141,3823,516,4,9,27938,37757
20,56002,5962,11238,3299,4212,673,3255,4342,8,4,32981,24814
23,85658,6854,7992,2355,6638,7754,4069,2943,3,4,38605,48984
25,24852,3539,8597,4180,4102,4403,7631,3647,1,8,36099,-7551
28,20387,4944,3407,3185,6914,8010,609,702,4,5,27771,-6566
28,54994,5244,11592,1557,6604,948,384,732,9,8,27061,33072
19,48725,15255,11201,5001,4596,6335,7826,1286,7,1,51500,-2277
22,87682,3591,7557,5637,2834,1281,717,2272,1,10,23889,65489
18,15560,17768,8999,3461,6616,4068,6674,595,1,5,48181,-31592
29,71565,9855,9589,4888,5534,8863,3158,773,1,8,42660,29906
18,16312,3601,5406,3127,1779,2783,5891,4489,6,8,27076,-8295
22,33205,14809,7700,4320,3745,932,191,1899,10,7,33596,4728
29,26595,19606,10127,3657,5449,5635,6785,2520,10,3,53779,-25343
20,36329,7690,6227,4143,549,5445,3275,4070,9,10,31399,10277
21,83187,14521,11936,4262,6151,6205,2070,2723,3,10,47868,39762
20,50645,3842,3545,2631,3164,2359,2743,2443,3,7,20727,31625
18,84619,12483,9307,1106,6833,4419,1642,2592,7,3,38382,49798
18,48513,10058,10132,2855,2274,6890,3572,2384,6,6,38165,11736
29,23749,15704,2134,2799,4088,1048,5713,1175,9,9,32661,-4977
29,45783,7565,4859,4416,4546,5560,7647,2133,3,8,36726,11376
22,75645,13088,8003,4775,565,4074,4018,1830,7,4,36353,41860
23,68175,6488,3264,1833,5870,666,4944,3475,7,5,26540,44337
20,77709,10906,3772,4508,4723,4012,158,1766,9,4,29845,49311
29,32323,3927,2164,2973,3244,2900,3385,636,6,6,19229,15997
26,65762,17512,10811,4057,687,3670,6051,1431,9,8,44219,23935
22,79222,10301,10422,4233,5802,3689,7158,2441,6,6,44046,36969
25,49493,10457,8725,2586,6202,3121,2009,668,2,5,33768,17304
18,73328,7492,4780,3850,5173,5658,6411,961,6,9,34325,42797
22,27213,5223,9753,5411,4539,3901,4728,4016,5,7,37571,-8269
20,61930,2954,7298,875,3388,6966,2722,1055,6,10,25258,39814
29,42713,11541,11569,2452,5357,6672,5123,1097,9,3,43811,1975
18,87723,17007,8814,4210,1166,1042,6939,3345,6,10,42523,47857
21,47583,3574,5752,2588,1432,8642,7397,1765,5,2,31150,16641
22,37369,17674,5972,2193,6722,4038,3872,4819,5,5,45290,-6614
24,62928,17426,5232,4055,5638,7512,5604,4504,3,5,49971,14772
18,83950,9095,9594,4780,2470,2440,5449,1325,5,6,35153,52639
20,34510,14023,2402,571,4352,8617,3998,2374,5,1,36337,-490
19,27120,5255,9199,2274,4640,6842,1229,2198,10,5,31637,-1459
26,20295,3058,8264,1073,5841,2260,7172,2031,3,7,29699,-7525
27,35460,3957,6480,5164,2676,6273,3849,4260,7,9,32659,6122
23,29963,6944,8619,5559,1117,4445,3224,743,8,3,30651,1158
27,42328,7058,4607,5862,5358,3201,1448,2768,7,7,30302,16190
20,36605,4519,11382,4566,6252,1528,1004,534,2,7,29785,9336
